hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(4,)",tanh,0.0001,200,0.07478197273092954,"[[[np.float64(-0.07784352949667235), np.float64(0.542743513884146), np.float64(0.12245543761593564), np.float64(-0.36462456547686733)], [np.float64(0.6296724768152969), np.float64(0.7159225476748358), np.float64(0.539125149499449), np.float64(0.1565445748340552)], [np.float64(0.42617878081424476), np.float64(0.5050153538782856), np.float64(0.2562936151328647), np.float64(0.10567538469547497)], [np.float64(0.38771440236179056), np.float64(-0.005621432279803768), np.float64(0.8114095319282458), np.float64(-0.021914327456037407)]]]","[[0.3894864895255009, 0.7500099773587623, 0.7815540604082042, np.float64(-0.026151666064851926)]]","[np.float64(0.48761310481595704), np.float64(0.16483379731014342), np.float64(0.13806217511393687), np.float64(0.9542833675162877)]",0.20371449900325314
1,"(4,)",tanh,0.001,100,0.13908968256133467,"[[[np.float64(0.4331593588090865), np.float64(-0.5010760985679252), np.float64(-0.6329196402891758), np.float64(0.9389835528283167)], [np.float64(0.5820047675177883), np.float64(-0.043600238477187386), np.float64(-0.030564890420208043), np.float64(0.7897395940258306)], [np.float64(-0.17036433548060428), np.float64(-0.058630078371572164), np.float64(-0.7314207924254013), np.float64(0.8197669758215794)], [np.float64(0.12246911465409233), np.float64(-0.5208876528744196), np.float64(-0.5230639878086861), np.float64(0.8136675948104114)]]]","[[0.8162622561575948, 0.9781475012099454, 0.14006258457094767, np.float64(0.2581731160196884)]]","[np.float64(0.19798389612970285), np.float64(0.3824651063895985), np.float64(0.2545554823346153), np.float64(0.03289921611515593)]",0.6020267196496791
1,"(4,)",tanh,0.001,200,0.10232544390214415,"[[[np.float64(0.8952362479838483), np.float64(-0.17559197209868896), np.float64(-0.9420669034794862), np.float64(0.2995734646856737)], [np.float64(0.6831680209893886), np.float64(0.4944171318221595), np.float64(-0.7716051894478277), np.float64(0.4793271311707252)], [np.float64(0.881796365708459), np.float64(0.23818482452972534), np.float64(-0.596010297242553), np.float64(0.4237387739059893)], [np.float64(0.4817929723722623), np.float64(0.5275353788621633), np.float64(-0.7685959973441857), np.float64(0.6372733134897502)]]]","[[0.5906226197388937, 0.7560774929790587, 0.7315422381046206, np.float64(-0.487180048378693)]]","[np.float64(0.10305430420811927), np.float64(0.42811621791987964), np.float64(0.8419458830555726), np.float64(0.6795277834279403)]",0.5431811621571783
2,"(2, 2)",relu,0.0001,100,0.09801861610752144,"[[[np.float64(0.4007181781965626), np.float64(-0.2149215144145084)], [np.float64(0.2561376668173182), np.float64(0.43446798170349044)], [np.float64(0.7677164168110885), np.float64(0.2024534520221965)], [np.float64(0.8901624281502408), np.float64(-0.05159281849900015)]], [[np.float64(-0.9330193551876586), np.float64(-0.24737654597818312)], [np.float64(0.49292612466941815), np.float64(0.42948930740040137)]]]","[[0.9776918952692615, np.float64(-0.0948657501003746)], [0.48398634136739027, np.float64(0.5617413684566669)]]","[np.float64(0.5784500380683781), np.float64(0.12188045117037023)]",0.6236226927300879
2,"(2, 2)",relu,0.0001,200,0.029965231266954554,"[[[np.float64(0.37007541096187235), np.float64(0.4989549384088732)], [np.float64(0.28782883564367545), np.float64(0.5602590820595789)], [np.float64(0.6382084958531973), np.float64(0.6108485547015337)], [np.float64(0.23173899090394712), np.float64(0.3710946729933858)]], [[np.float64(0.7485216860211404), np.float64(0.11023839027950633)], [np.float64(-0.16886594216053358), np.float64(0.6468007484405399)]]]","[[0.19887551755555744, np.float64(0.7070701445298295)], [0.13832574615282833, np.float64(0.16536387263229207)]]","[np.float64(0.6968799927190638), np.float64(0.012207274731083725)]",0.18625286776257857
2,"(2, 2)",relu,0.001,100,0.5115035921790952,"[[[np.float64(-6.418913365931489), np.float64(-6.893060394438471)], [np.float64(-5.9109433052357), np.float64(-6.070023584820865)], [np.float64(-6.189715483089869), np.float64(-6.967937372830432)], [np.float64(-5.162630881140036), np.float64(-5.633014719587627)]], [[np.float64(-30.968563943536875), np.float64(-10.804786760118636)], [np.float64(-29.43303150661773), np.float64(-10.37988979264342)]]]","[[0.5086559078165726, np.float64(-14.096310238268268)], [0.6252754658368787, np.float64(-4.526381313685888)]]","[np.float64(0.6932929038946667), np.float64(0.2521393343887259)]",0.7189475342718936
2,"(2, 2)",relu,0.001,200,0.14206510065662856,"[[[np.float64(0.4278293814583265), np.float64(-0.20649554382666355)], [np.float64(0.36391617524191655), np.float64(0.6852111729125748)], [np.float64(0.47681296244806254), np.float64(0.19161440951332454)], [np.float64(0.8422622725261806), np.float64(0.4551044705210872)]], [[np.float64(-1.8915337542138915), np.float64(-0.3806441423550435)], [np.float64(-1.3721927307355324), np.float64(-0.1806600483632339)]]]","[[0.5546590544451931, np.float64(-0.013434682164515993)], [0.0685629608430498, np.float64(0.085671818061406)]]","[np.float64(0.46590003609785136), np.float64(0.10814715080881225)]",0.21310496375671173
2,"(2, 2)",sigmoid,0.0001,100,0.14251242027947825,"[[[np.float64(0.3885816510120172), np.float64(0.8374238000176473)], [np.float64(0.4319092313421442), np.float64(0.734805884962491)], [np.float64(0.39576401437861225), np.float64(0.8315306427248785)], [np.float64(0.7639675683875691), np.float64(0.4592730693027843)]], [[np.float64(-0.12425183132563823), np.float64(-0.22278583592495974)], [np.float64(-0.031892965236342996), np.float64(0.5573333235229598)]]]","[[0.5771007147739675, np.float64(0.8549137108834316)], [0.03500548347550292, np.float64(0.18473475911330461)]]","[np.float64(0.9649327279215307), np.float64(0.8370812802091299)]",0.1312446371084585
2,"(2, 2)",sigmoid,0.0001,200,0.11506057383697182,"[[[np.float64(0.8812501919491517), np.float64(0.6672566417221535)], [np.float64(0.44811767627698634), np.float64(0.9456590581925276)], [np.float64(0.526020205615746), np.float64(0.4727506708313676)], [np.float64(0.2926844679869336), np.float64(0.29889154198246265)]], [[np.float64(0.09410225420041818), np.float64(-0.19861468201671367)], [np.float64(0.6220008720755048), np.float64(0.5783317429939856)]]]","[[0.43213029678808035, np.float64(0.6410225659782931)], [0.22537108919062687, np.float64(0.23845213604407875)]]","[np.float64(0.5454461097981026), np.float64(0.6418562952133711)]",0.05003376022996786
2,"(2, 2)",sigmoid,0.001,100,0.09058884403978618,"[[[np.float64(0.5386814991326251), np.float64(0.5740979752808885)], [np.float64(0.1524699194931093), np.float64(0.6571771861338808)], [np.float64(0.8966776901933091), np.float64(0.6353418518068477)], [np.float64(0.06041517398171541), np.float64(0.6904604228385639)]], [[np.float64(-0.8362358196222012), np.float64(-0.10585124235382636)], [np.float64(-1.678080189449404), np.float64(-0.5703689185905529)]]]","[[0.1865181819055507, np.float64(1.0840375712837356)], [0.6455471220289621, np.float64(-0.6121453917080322)]]","[np.float64(0.929539260884288), np.float64(0.6851524892669492)]",0.14769032804968454
