hidden_layer,hidden_neuron,lr,epoch,mse,bobot,bias,bobot_output,bias_output
2,"(1, 5)",0.01,200,0.03691909514495326,"[[[np.float64(-83.99506912325336)], [np.float64(-83.88224960420025)], [np.float64(-81.59145227756645)], [np.float64(-75.83385596743977)]], [[np.float64(-28.132520701519173), np.float64(-212.271591389647), np.float64(-29.928377763097252), np.float64(-189.21613256726246), np.float64(-253.36087585966314)]]]","[[np.float64(-164.08618446424288)], [0.42982419425046814, 0.010809086298338655, 0.4055390097416418, 0.7231341940125345, np.float64(-123.34262336890674)]]","[np.float64(0.14122858218870266), np.float64(0.7269816157362755), np.float64(0.13080949369325487), np.float64(0.6913289196461948), np.float64(0.8182258228742949)]",0.08768245757313478
2,"(1, 5)",0.01,500,0.1590013448774956,"[[[np.float64(-50.43606020361029)], [np.float64(-50.75007138530778)], [np.float64(-49.40054428469392)], [np.float64(-46.3123320456102)]], [[np.float64(-23.064485367969418), np.float64(-253.0108026851222), np.float64(-5.0884269682855505), np.float64(-199.495638546234), np.float64(-97.55038621008528)]]]","[[np.float64(-99.65890674049925)], [0.9564573935092986, 0.34416711789169097, 0.6817325048514566, 0.48233638476114615, np.float64(-38.765283332067305)]]","[np.float64(-0.013818917274727038), np.float64(0.734939279648465), np.float64(-0.09529007620308672), np.float64(0.5913072412968371), np.float64(0.2578716048673524)]",0.400048910871341
2,"(2, 1)",0.005,200,0.03554389156103979,"[[[np.float64(0.13170616617102537), np.float64(0.1463691145599518)], [np.float64(0.4935944832848261), np.float64(0.4526302155973772)], [np.float64(0.12895016224460623), np.float64(0.6203476383789192)], [np.float64(0.8909946071369719), np.float64(0.8265015021480692)]], [[np.float64(-0.7279640601363582)], [np.float64(-0.9422294943898633)]]]","[[0.6531588367244868, np.float64(0.6806745308602158)], [np.float64(0.24334679298512965)]]",[np.float64(0.37276920266561947)],0.5698530080361724
2,"(2, 1)",0.005,500,0.03981842938576516,"[[[np.float64(0.4653586761232472), np.float64(0.41866470287375124)], [np.float64(-0.31673372272116934), np.float64(-0.1160887830250576)], [np.float64(-0.2013774338876324), np.float64(-0.0026674331271150896)], [np.float64(0.3976537467563201), np.float64(-0.04512508934709408)]], [[np.float64(-0.5844616157272338)], [np.float64(-1.42936345321095)]]]","[[0.03953214496574908, np.float64(0.22282176966681522)], [np.float64(-0.8590692961962668)]]",[np.float64(0.16419079709177692)],0.5966599918819685
2,"(2, 1)",0.01,200,0.16370714586894114,"[[[np.float64(0.6837747740331623), np.float64(0.04979206101444342)], [np.float64(0.26393855262935423), np.float64(0.657400881234179)], [np.float64(0.327727557917647), np.float64(0.7731354727562533)], [np.float64(0.10049911967839681), np.float64(0.6483759860030508)]], [[np.float64(-1.1231661879419919)], [np.float64(-1.4295980187062884)]]]","[[0.4394824566895974, np.float64(-0.3676747759737349)], [np.float64(-0.5020761135341817)]]",[np.float64(0.06525584484727069)],0.8664774072587456
2,"(2, 1)",0.01,500,0.05262452110275017,"[[[np.float64(0.5390711510754771), np.float64(0.8912958500619507)], [np.float64(0.2783958364529922), np.float64(0.20103924354030586)], [np.float64(-0.28394287763536674), np.float64(0.32948317575161856)], [np.float64(0.4000144677741539), np.float64(0.16883106766997602)]], [[np.float64(-3.078907014526186)], [np.float64(-3.0179409968480155)]]]","[[0.7802204215377305, np.float64(0.8114183034669833)], [np.float64(-0.5379238682578604)]]",[np.float64(0.18114359469909663)],0.6509964903725867
2,"(2, 2)",0.005,200,0.15958540371452476,"[[[np.float64(-25.17591399268315), np.float64(-33.18965675075924)], [np.float64(-25.64648805550591), np.float64(-33.643063396183436)], [np.float64(-24.58493744777089), np.float64(-32.87218524877745)], [np.float64(-23.212959775129544), np.float64(-30.604076863907203)]], [[np.float64(-98.21157610153116), np.float64(-82.10985832269128)], [np.float64(-144.13498229893554), np.float64(-121.55121356413785)]]]","[[0.06932274159819451, np.float64(-66.36693493641293)], [0.211243154929335, np.float64(-60.127268322573556)]]","[np.float64(0.8811444210369689), np.float64(0.7211042641349166)]",0.6746962786347251
2,"(2, 2)",0.005,500,0.16951486857435516,"[[[np.float64(-8.453092462923665), np.float64(-7.08066111998664)], [np.float64(-7.957403960217583), np.float64(-6.374906620031345)], [np.float64(-7.625546261988226), np.float64(-6.551704978122295)], [np.float64(-6.774050786995603), np.float64(-5.999036281387094)]], [[np.float64(-62.973180024241), np.float64(-6.599605764052767)], [np.float64(-65.09500132479702), np.float64(-6.471933844889158)]]]","[[0.5168448400514863, np.float64(-13.215329293351909)], [0.21969280553893444, np.float64(-2.3690065139739254)]]","[np.float64(0.5576438767681796), np.float64(0.0427523424259106)]",0.7518486841039764
2,"(2, 2)",0.01,200,0.16241825111254693,"[[[np.float64(-44.77129764985892), np.float64(-62.84119426913999)], [np.float64(-44.72562982644833), np.float64(-61.99341164035022)], [np.float64(-42.973887277225494), np.float64(-60.795676904644495)], [np.float64(-40.00422386509967), np.float64(-56.999439128472446)]], [[np.float64(-31.02399179345557), np.float64(-367.4920491140674)], [np.float64(-46.76918146608287), np.float64(-548.075135808076)]]]","[[0.43659413201567554, np.float64(-122.82173032722078)], [0.20534340897346792, np.float64(-172.5341472700674)]]","[np.float64(-0.08211204251825384), np.float64(0.8461246534832282)]",0.8815795640479429
2,"(2, 2)",0.01,500,0.033843775318920355,"[[[np.float64(-3.6317948673102225), np.float64(-2.624581235434813)], [np.float64(-4.156866004773836), np.float64(-3.0905371939111586)], [np.float64(-4.024584221072988), np.float64(-2.6299279576094317)], [np.float64(-3.2024561302675614), np.float64(-2.839278602617519)]], [[np.float64(-11.396562117158687), np.float64(-13.677056481101427)], [np.float64(-7.050999510208229), np.float64(-8.403380814487328)]]]","[[0.4077649000768119, np.float64(-6.394925251264481)], [0.3171320304504227, np.float64(-5.96048878799252)]]","[np.float64(0.2248890669510673), np.float64(0.16612980688259654)]",0.5134951033926111
2,"(2, 3)",0.005,200,0.07102743249607292,"[[[np.float64(-24.991785910419328), np.float64(-28.170051864539886)], [np.float64(-24.235342119505248), np.float64(-28.225998642724175)], [np.float64(-24.463584167346283), np.float64(-27.082646143000158)], [np.float64(-22.892000463728092), np.float64(-25.523126317318276)]], [[np.float64(-59.204708298077), np.float64(-58.140666488568925), np.float64(-45.13025245180559)], [np.float64(-60.38813955575086), np.float64(-59.98390635524205), np.float64(-45.30518012596679)]]]","[[0.7883614974416581, np.float64(-54.886290777117914)], [0.24520963807121388, 0.3054781286223023, np.float64(-21.480060656184158)]]","[np.float64(0.35989926829561975), np.float64(0.36799713681738166), np.float64(0.2425087077972125)]",0.5165759373663236
2,"(2, 3)",0.005,500,0.03150183479294311,"[[[np.float64(-16.181689351939475), np.float64(-42.16305228342606)], [np.float64(-16.152596013417423), np.float64(-41.81709089464944)], [np.float64(-16.183741881985732), np.float64(-41.006003253942794)], [np.float64(-15.13896179152395), np.float64(-38.04741281536959)]], [[np.float64(-151.00878832525314), np.float64(-15.758725547826822), np.float64(-143.4828010293255)], [np.float64(-161.67296516230047), np.float64(-17.092732162724467), np.float64(-153.72530512974456)]]]","[[0.9867301555717091, np.float64(-82.67283485154782)], [0.757656850285633, 0.31119763383229515, np.float64(-51.39434924841536)]]","[np.float64(0.6628555247458423), np.float64(0.10372503498763785), np.float64(0.5151567114309168)]",0.12148460982805646
